player_id,season_index,season_label,games,points,points_per_game,opportunities_per_game,is_synthetic
SYN-025,-3,Demo year -3,14,331.9,23.71,17.94,True
SYN-025,-2,Demo year -2,16,326.6,20.41,15.82,True
SYN-025,-1,Demo year -1,14,308.7,22.05,17.8,True
SYN-025,0,Current demo,16,303.9,18.99,15.19,True
SYN-085,-3,Demo year -3,16,291.7,18.23,10.95,True
SYN-085,-2,Demo year -2,13,283.4,21.8,9.53,True
SYN-085,-1,Demo year -1,17,304.5,17.91,9.07,True
SYN-085,0,Current demo,16,309.2,19.33,8.92,True
SYN-086,-3,Demo year -3,14,279.7,19.98,10.62,True
SYN-086,-2,Demo year -2,13,267.5,20.58,9.04,True
SYN-086,-1,Demo year -1,16,276.1,17.26,7.24,True
SYN-086,0,Current demo,13,292.9,22.53,11.88,True
SYN-028,-3,Demo year -3,13,238.7,18.36,16.9,True
SYN-028,-2,Demo year -2,15,263.1,17.54,15.87,True
SYN-028,-1,Demo year -1,14,272.6,19.47,17.98,True
SYN-028,0,Current demo,14,294.6,21.04,16.01,True
SYN-089,-3,Demo year -3,16,278.7,17.42,11.63,True
SYN-089,-2,Demo year -2,13,296.1,22.78,11.54,True
SYN-089,-1,Demo year -1,16,297.6,18.6,9.29,True
SYN-089,0,Current demo,14,264.8,18.91,10.71,True
SYN-087,-3,Demo year -3,16,301.1,18.82,8.81,True
SYN-087,-2,Demo year -2,14,273.8,19.56,11.13,True
SYN-087,-1,Demo year -1,13,297.6,22.89,11.82,True
SYN-087,0,Current demo,16,306.3,19.15,10.21,True
SYN-027,-3,Demo year -3,17,310.9,18.29,17.05,True
SYN-027,-2,Demo year -2,17,282.2,16.6,17.1,True
SYN-027,-1,Demo year -1,17,300.0,17.65,17.51,True
SYN-027,0,Current demo,14,321.8,22.98,16.02,True
SYN-157,-3,Demo year -3,14,210.0,15.0,6.87,True
SYN-157,-2,Demo year -2,13,232.2,17.86,8.01,True
SYN-157,-1,Demo year -1,13,251.4,19.34,8.69,True
SYN-157,0,Current demo,13,263.0,20.23,5.97,True
SYN-026,-3,Demo year -3,16,289.0,18.06,17.1,True
SYN-026,-2,Demo year -2,13,312.1,24.01,16.8,True
SYN-026,-1,Demo year -1,17,311.4,18.32,14.96,True
SYN-026,0,Current demo,13,285.0,21.93,16.32,True
SYN-088,-3,Demo year -3,14,296.2,21.16,8.12,True
SYN-088,-2,Demo year -2,17,268.4,15.79,10.08,True
SYN-088,-1,Demo year -1,15,288.1,19.2,7.93,True
SYN-088,0,Current demo,17,276.8,16.28,10.69,True
SYN-030,-3,Demo year -3,15,262.3,17.49,14.57,True
SYN-030,-2,Demo year -2,15,293.7,19.58,16.46,True
SYN-030,-1,Demo year -1,13,304.4,23.42,18.64,True
SYN-030,0,Current demo,15,307.3,20.49,15.81,True
SYN-029,-3,Demo year -3,13,275.6,21.2,15.46,True
SYN-029,-2,Demo year -2,16,289.3,18.08,16.78,True
SYN-029,-1,Demo year -1,15,295.8,19.72,14.7,True
SYN-029,0,Current demo,16,293.7,18.36,16.41,True
