player_id,player_name,club,position,model_rank,market_pick,value_delta,tier,projected_points,projection_low,projection_high,upside,floor,risk,profile,is_synthetic
SYN-025,Demo Garnet RB-01,Demo Club Comet,RB,1,5.8,4.8,Cornerstone,315.9,222.7,374.3,3,2,3,Balanced fictional projection across the demo inputs.,True
SYN-085,Demo Solstice WR-01,Demo Club Comet,WR,2,1.0,-1.0,Cornerstone,292.1,210.3,346.1,3,4,2,Stable illustrative workload with a narrow demo range.,True
SYN-086,Demo Axiom WR-02,Demo Club Ember,WR,3,7.6,4.6,Cornerstone,297.1,200.6,344.6,2,1,5,Balanced fictional projection across the demo inputs.,True
SYN-028,Demo Axiom RB-04,Demo Club Ion,RB,4,1.0,-3.0,Cornerstone,287.5,198.3,347.8,4,2,4,High-variance illustrative profile with extra demo ceiling.,True
SYN-089,Demo Solstice WR-05,Demo Club Kestrel,WR,5,1.0,-4.0,Cornerstone,277.3,195.5,328.6,3,3,3,Balanced fictional projection across the demo inputs.,True
SYN-087,Demo Garnet WR-03,Demo Club Grove,WR,6,1.0,-5.0,Cornerstone,291.7,210.0,345.6,3,4,2,Stable illustrative workload with a narrow demo range.,True
SYN-027,Demo Solstice RB-03,Demo Club Grove,RB,7,6.8,-0.2,Cornerstone,299.9,202.4,370.4,5,1,5,High-variance illustrative profile with extra demo ceiling.,True
SYN-157,Demo Solstice TE-01,Demo Club Comet,TE,8,13.6,5.6,Cornerstone,247.0,174.1,292.7,3,3,3,Balanced fictional projection across the demo inputs.,True
SYN-026,Demo Mosaic RB-02,Demo Club Ember,RB,9,15.1,6.1,Cornerstone,300.3,216.2,355.8,3,5,2,Stable illustrative workload with a narrow demo range.,True
SYN-088,Demo Mosaic WR-04,Demo Club Ion,WR,10,7.2,-2.8,Cornerstone,284.7,200.7,344.5,4,3,3,Balanced fictional projection across the demo inputs.,True
SYN-030,Demo Mosaic RB-06,Demo Club Aurora,RB,11,2.4,-8.6,Cornerstone,286.0,201.7,346.1,4,3,3,Balanced fictional projection across the demo inputs.,True
SYN-029,Demo Garnet RB-05,Demo Club Kestrel,RB,12,1.3,-10.7,Cornerstone,292.3,206.1,346.4,3,3,3,Balanced fictional projection across the demo inputs.,True
SYN-001,Demo Garnet QB-01,Demo Club Comet,QB,13,5.8,-7.2,Foundation,373.7,263.5,461.6,5,3,3,Balanced fictional projection across the demo inputs.,True
SYN-090,Demo Axiom WR-06,Demo Club Aurora,WR,14,1.0,-13.0,Foundation,285.1,201.0,344.9,4,3,3,Balanced fictional projection across the demo inputs.,True
SYN-092,Demo Mosaic WR-08,Demo Club Ember,WR,15,17.9,2.9,Foundation,279.0,196.7,337.6,4,3,3,Balanced fictional projection across the demo inputs.,True
SYN-091,Demo Garnet WR-07,Demo Club Comet,WR,16,6.4,-9.6,Foundation,285.3,205.4,352.3,5,4,2,Stable illustrative workload with a narrow demo range.,True
SYN-093,Demo Solstice WR-09,Demo Club Grove,WR,17,36.9,19.9,Foundation,264.4,186.4,306.7,2,2,3,Balanced fictional projection across the demo inputs.,True
SYN-095,Demo Garnet WR-11,Demo Club Kestrel,WR,18,39.9,21.9,Foundation,261.0,184.0,309.3,3,3,3,Balanced fictional projection across the demo inputs.,True
SYN-158,Demo Axiom TE-02,Demo Club Ember,TE,19,18.8,-0.2,Foundation,251.5,181.1,298.0,3,5,2,Stable illustrative workload with a narrow demo range.,True
SYN-032,Demo Axiom RB-08,Demo Club Ember,RB,20,36.6,16.6,Foundation,290.9,200.7,352.0,4,1,4,High-variance illustrative profile with extra demo ceiling.,True
SYN-031,Demo Solstice RB-07,Demo Club Comet,RB,21,30.0,9.0,Foundation,288.5,207.7,341.9,3,4,2,Stable illustrative workload with a narrow demo range.,True
SYN-034,Demo Mosaic RB-10,Demo Club Ion,RB,22,21.4,-0.6,Foundation,277.2,195.4,328.5,3,3,3,Balanced fictional projection across the demo inputs.,True
SYN-096,Demo Mosaic WR-12,Demo Club Aurora,WR,23,23.6,0.6,Foundation,257.3,177.5,304.8,3,2,4,Balanced fictional projection across the demo inputs.,True
SYN-033,Demo Garnet RB-09,Demo Club Grove,RB,24,48.8,24.8,Foundation,289.8,204.3,336.2,2,2,3,Balanced fictional projection across the demo inputs.,True
SYN-159,Demo Garnet TE-03,Demo Club Grove,TE,25,33.1,8.1,Foundation,239.5,168.9,277.9,2,3,3,Balanced fictional projection across the demo inputs.,True
SYN-094,Demo Axiom WR-10,Demo Club Ion,WR,26,30.9,4.9,Foundation,261.8,192.4,316.8,4,5,1,Stable illustrative workload with a narrow demo range.,True
SYN-160,Demo Mosaic TE-04,Demo Club Ion,TE,27,25.8,-1.2,Foundation,237.9,164.1,281.9,3,2,4,Balanced fictional projection across the demo inputs.,True
SYN-002,Demo Mosaic QB-02,Demo Club Ember,QB,28,32.2,4.2,Foundation,367.3,258.9,435.2,3,3,3,Balanced fictional projection across the demo inputs.,True
SYN-035,Demo Solstice RB-11,Demo Club Kestrel,RB,29,17.0,-12.0,Foundation,264.6,194.5,313.5,3,5,1,Stable illustrative workload with a narrow demo range.,True
SYN-098,Demo Axiom WR-14,Demo Club Ember,WR,30,38.1,8.1,Foundation,260.4,175.8,315.1,4,2,5,High-variance illustrative profile with extra demo ceiling.,True
SYN-036,Demo Axiom RB-12,Demo Club Aurora,RB,31,26.3,-4.7,Foundation,277.4,195.6,328.7,3,3,3,Balanced fictional projection across the demo inputs.,True
SYN-097,Demo Solstice WR-13,Demo Club Comet,WR,32,38.3,6.3,Foundation,268.8,185.5,305.1,1,2,4,Balanced fictional projection across the demo inputs.,True
SYN-161,Demo Solstice TE-05,Demo Club Kestrel,TE,33,50.5,17.5,Foundation,234.2,158.1,271.7,2,1,5,Balanced fictional projection across the demo inputs.,True
SYN-003,Demo Solstice QB-03,Demo Club Grove,QB,34,35.8,1.8,Foundation,359.9,253.8,426.5,3,2,3,Balanced fictional projection across the demo inputs.,True
SYN-037,Demo Garnet RB-13,Demo Club Comet,RB,35,29.7,-5.3,Foundation,269.7,198.2,319.5,3,5,1,Stable illustrative workload with a narrow demo range.,True
SYN-099,Demo Garnet WR-15,Demo Club Grove,WR,36,34.5,-1.5,Foundation,257.2,173.6,311.2,4,1,5,High-variance illustrative profile with extra demo ceiling.,True
SYN-038,Demo Mosaic RB-14,Demo Club Ember,RB,37,49.8,12.8,Starter,252.7,182.0,299.5,3,3,2,Stable illustrative workload with a narrow demo range.,True
SYN-164,Demo Mosaic TE-08,Demo Club Ember,TE,38,48.0,10.0,Starter,216.9,156.2,262.4,4,5,2,Stable illustrative workload with a narrow demo range.,True
SYN-005,Demo Garnet QB-05,Demo Club Kestrel,QB,39,51.9,12.9,Starter,334.7,230.9,396.6,3,1,4,Balanced fictional projection across the demo inputs.,True
SYN-100,Demo Mosaic WR-16,Demo Club Ion,WR,40,50.3,10.3,Starter,267.3,180.4,323.5,4,1,5,High-variance illustrative profile with extra demo ceiling.,True
SYN-004,Demo Axiom QB-04,Demo Club Ion,QB,41,33.2,-7.8,Starter,347.1,244.7,411.3,3,4,3,Balanced fictional projection across the demo inputs.,True
SYN-040,Demo Axiom RB-16,Demo Club Ion,RB,42,37.9,-4.1,Starter,261.5,188.3,309.8,3,4,2,Stable illustrative workload with a narrow demo range.,True
SYN-162,Demo Axiom TE-06,Demo Club Aurora,TE,43,40.3,-2.7,Starter,214.4,144.7,259.5,4,2,5,High-variance illustrative profile with extra demo ceiling.,True
